Sample ID	Length	Serotype
lcl|MT442918.1_cds_QWL56014.1_1 [protein=VP1] [protein_id=QWL56014.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442917.1_cds_QWL56013.1_1 [protein=VP1] [protein_id=QWL56013.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442916.1_cds_QWL56012.1_1 [protein=VP1] [protein_id=QWL56012.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442915.1_cds_QWL56011.1_1 [protein=VP1] [protein_id=QWL56011.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442914.1_cds_QWL56010.1_1 [protein=VP1] [protein_id=QWL56010.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442913.1_cds_QWL56009.1_1 [protein=VP1] [protein_id=QWL56009.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442912.1_cds_QWL56008.1_1 [protein=VP1] [protein_id=QWL56008.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442911.1_cds_QWL56007.1_1 [protein=VP1] [protein_id=QWL56007.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442910.1_cds_QWL56006.1_1 [protein=VP1] [protein_id=QWL56006.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442909.1_cds_QWL56005.1_1 [protein=VP1] [protein_id=QWL56005.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442908.1_cds_QWL56004.1_1 [protein=VP1] [protein_id=QWL56004.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442907.1_cds_QWL56003.1_1 [protein=VP1] [protein_id=QWL56003.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442906.1_cds_QWL56002.1_1 [protein=VP1] [protein_id=QWL56002.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442905.1_cds_QWL56001.1_1 [protein=VP1] [protein_id=QWL56001.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442904.1_cds_QWL56000.1_1 [protein=VP1] [protein_id=QWL56000.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442903.1_cds_QWL55999.1_1 [protein=VP1] [protein_id=QWL55999.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442902.1_cds_QWL55998.1_1 [protein=VP1] [protein_id=QWL55998.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442901.1_cds_QWL55997.1_1 [protein=VP1] [protein_id=QWL55997.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442900.1_cds_QWL55996.1_1 [protein=VP1] [protein_id=QWL55996.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442899.1_cds_QWL55995.1_1 [protein=VP1] [protein_id=QWL55995.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442898.1_cds_QWL55994.1_1 [protein=VP1] [protein_id=QWL55994.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442897.1_cds_QWL55993.1_1 [protein=VP1] [protein_id=QWL55993.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442896.1_cds_QWL55992.1_1 [protein=VP1] [protein_id=QWL55992.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442895.1_cds_QWL55991.1_1 [protein=VP1] [protein_id=QWL55991.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442894.1_cds_QWL55990.1_1 [protein=VP1] [protein_id=QWL55990.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442893.1_cds_QWL55989.1_1 [protein=VP1] [protein_id=QWL55989.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442892.1_cds_QWL55988.1_1 [protein=VP1] [protein_id=QWL55988.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442891.1_cds_QWL55987.1_1 [protein=VP1] [protein_id=QWL55987.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442890.1_cds_QWL55986.1_1 [protein=VP1] [protein_id=QWL55986.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442889.1_cds_QWL55985.1_1 [protein=VP1] [protein_id=QWL55985.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442888.1_cds_QWL55984.1_1 [protein=VP1] [protein_id=QWL55984.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442887.1_cds_QWL55983.1_1 [protein=VP1] [protein_id=QWL55983.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442886.1_cds_QWL55982.1_1 [protein=VP1] [protein_id=QWL55982.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442885.1_cds_QWL55981.1_1 [protein=VP1] [protein_id=QWL55981.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442884.1_cds_QWL55980.1_1 [protein=VP1] [protein_id=QWL55980.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442883.1_cds_QWL55979.1_1 [protein=VP1] [protein_id=QWL55979.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442882.1_cds_QWL55978.1_1 [protein=VP1] [protein_id=QWL55978.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442881.1_cds_QWL55977.1_1 [protein=VP1] [protein_id=QWL55977.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442880.1_cds_QWL55976.1_1 [protein=VP1] [protein_id=QWL55976.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442879.1_cds_QWL55975.1_1 [protein=VP1] [protein_id=QWL55975.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442878.1_cds_QWL55974.1_1 [protein=VP1] [protein_id=QWL55974.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442877.1_cds_QWL55973.1_1 [protein=VP1] [protein_id=QWL55973.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442876.1_cds_QWL55972.1_1 [protein=VP1] [protein_id=QWL55972.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442875.1_cds_QWL55971.1_1 [protein=VP1] [protein_id=QWL55971.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442874.1_cds_QWL55970.1_1 [protein=VP1] [protein_id=QWL55970.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442873.1_cds_QWL55969.1_1 [protein=VP1] [protein_id=QWL55969.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442872.1_cds_QWL55968.1_1 [protein=VP1] [protein_id=QWL55968.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442871.1_cds_QWL55967.1_1 [protein=VP1] [protein_id=QWL55967.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442870.1_cds_QWL55966.1_1 [protein=VP1] [protein_id=QWL55966.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442869.1_cds_QWL55965.1_1 [protein=VP1] [protein_id=QWL55965.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442868.1_cds_QWL55964.1_1 [protein=VP1] [protein_id=QWL55964.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442867.1_cds_QWL55963.1_1 [protein=VP1] [protein_id=QWL55963.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442866.1_cds_QWL55962.1_1 [protein=VP1] [protein_id=QWL55962.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442865.1_cds_QWL55961.1_1 [protein=VP1] [protein_id=QWL55961.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442864.1_cds_QWL55960.1_1 [protein=VP1] [protein_id=QWL55960.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442863.1_cds_QWL55959.1_1 [protein=VP1] [protein_id=QWL55959.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442862.1_cds_QWL55958.1_1 [protein=VP1] [protein_id=QWL55958.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442861.1_cds_QWL55957.1_1 [protein=VP1] [protein_id=QWL55957.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442860.1_cds_QWL55956.1_1 [protein=VP1] [protein_id=QWL55956.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442859.1_cds_QWL55955.1_1 [protein=VP1] [protein_id=QWL55955.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442858.1_cds_QWL55954.1_1 [protein=VP1] [protein_id=QWL55954.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442857.1_cds_QWL55953.1_1 [protein=VP1] [protein_id=QWL55953.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442856.1_cds_QWL55952.1_1 [protein=VP1] [protein_id=QWL55952.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442855.1_cds_QWL55951.1_1 [protein=VP1] [protein_id=QWL55951.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442854.1_cds_QWL55950.1_1 [protein=VP1] [protein_id=QWL55950.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442853.1_cds_QWL55949.1_1 [protein=VP1] [protein_id=QWL55949.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442852.1_cds_QWL55948.1_1 [protein=VP1] [protein_id=QWL55948.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442851.1_cds_QWL55947.1_1 [protein=VP1] [protein_id=QWL55947.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442850.1_cds_QWL55946.1_1 [protein=VP1] [protein_id=QWL55946.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442849.1_cds_QWL55945.1_1 [protein=VP1] [protein_id=QWL55945.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442848.1_cds_QWL55944.1_1 [protein=VP1] [protein_id=QWL55944.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442847.1_cds_QWL55943.1_1 [protein=VP1] [protein_id=QWL55943.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442846.1_cds_QWL55942.1_1 [protein=VP1] [protein_id=QWL55942.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442845.1_cds_QWL55941.1_1 [protein=VP1] [protein_id=QWL55941.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442844.1_cds_QWL55940.1_1 [protein=VP1] [protein_id=QWL55940.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442843.1_cds_QWL55939.1_1 [protein=VP1] [protein_id=QWL55939.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442842.1_cds_QWL55938.1_1 [protein=VP1] [protein_id=QWL55938.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442841.1_cds_QWL55937.1_1 [protein=VP1] [protein_id=QWL55937.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442840.1_cds_QWL55936.1_1 [protein=VP1] [protein_id=QWL55936.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442839.1_cds_QWL55935.1_1 [protein=VP1] [protein_id=QWL55935.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442838.1_cds_QWL55934.1_1 [protein=VP1] [protein_id=QWL55934.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442837.1_cds_QWL55933.1_1 [protein=VP1] [protein_id=QWL55933.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442836.1_cds_QWL55932.1_1 [protein=VP1] [protein_id=QWL55932.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442835.1_cds_QWL55931.1_1 [protein=VP1] [protein_id=QWL55931.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442834.1_cds_QWL55930.1_1 [protein=VP1] [protein_id=QWL55930.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442833.1_cds_QWL55929.1_1 [protein=VP1] [protein_id=QWL55929.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442832.1_cds_QWL55928.1_1 [protein=VP1] [protein_id=QWL55928.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442831.1_cds_QWL55927.1_1 [protein=VP1] [protein_id=QWL55927.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442830.1_cds_QWL55926.1_1 [protein=VP1] [protein_id=QWL55926.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442829.1_cds_QWL55925.1_1 [protein=VP1] [protein_id=QWL55925.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442828.1_cds_QWL55924.1_1 [protein=VP1] [protein_id=QWL55924.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442827.1_cds_QWL55923.1_1 [protein=VP1] [protein_id=QWL55923.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442826.1_cds_QWL55922.1_1 [protein=VP1] [protein_id=QWL55922.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442825.1_cds_QWL55921.1_1 [protein=VP1] [protein_id=QWL55921.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442824.1_cds_QWL55920.1_1 [protein=VP1] [protein_id=QWL55920.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442823.1_cds_QWL55919.1_1 [protein=VP1] [protein_id=QWL55919.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442822.1_cds_QWL55918.1_1 [protein=VP1] [protein_id=QWL55918.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442821.1_cds_QWL55917.1_1 [protein=VP1] [protein_id=QWL55917.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442820.1_cds_QWL55916.1_1 [protein=VP1] [protein_id=QWL55916.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442819.1_cds_QWL55915.1_1 [protein=VP1] [protein_id=QWL55915.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442818.1_cds_QWL55914.1_1 [protein=VP1] [protein_id=QWL55914.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442817.1_cds_QWL55913.1_1 [protein=VP1] [protein_id=QWL55913.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442816.1_cds_QWL55912.1_1 [protein=VP1] [protein_id=QWL55912.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442815.1_cds_QWL55911.1_1 [protein=VP1] [protein_id=QWL55911.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442814.1_cds_QWL55910.1_1 [protein=VP1] [protein_id=QWL55910.1] [location=<1..>639] [gbkey=CDS]	639	O
lcl|MT442626.1_cds_QWL55722.1_1 [protein=VP1] [protein_id=QWL55722.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442625.1_cds_QWL55721.1_1 [protein=VP1] [protein_id=QWL55721.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442624.1_cds_QWL55720.1_1 [protein=VP1] [protein_id=QWL55720.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442623.1_cds_QWL55719.1_1 [protein=VP1] [protein_id=QWL55719.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442622.1_cds_QWL55718.1_1 [protein=VP1] [protein_id=QWL55718.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442621.1_cds_QWL55717.1_1 [protein=VP1] [protein_id=QWL55717.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442620.1_cds_QWL55716.1_1 [protein=VP1] [protein_id=QWL55716.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442619.1_cds_QWL55715.1_1 [protein=VP1] [protein_id=QWL55715.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442618.1_cds_QWL55714.1_1 [protein=VP1] [protein_id=QWL55714.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442617.1_cds_QWL55713.1_1 [protein=VP1] [protein_id=QWL55713.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442616.1_cds_QWL55712.1_1 [protein=VP1] [protein_id=QWL55712.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442615.1_cds_QWL55711.1_1 [protein=VP1] [protein_id=QWL55711.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442614.1_cds_QWL55710.1_1 [protein=VP1] [protein_id=QWL55710.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442613.1_cds_QWL55709.1_1 [protein=VP1] [protein_id=QWL55709.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442612.1_cds_QWL55708.1_1 [protein=VP1] [protein_id=QWL55708.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442611.1_cds_QWL55707.1_1 [protein=VP1] [protein_id=QWL55707.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442610.1_cds_QWL55706.1_1 [protein=VP1] [protein_id=QWL55706.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442609.1_cds_QWL55705.1_1 [protein=VP1] [protein_id=QWL55705.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442608.1_cds_QWL55704.1_1 [protein=VP1] [protein_id=QWL55704.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442607.1_cds_QWL55703.1_1 [protein=VP1] [protein_id=QWL55703.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442606.1_cds_QWL55702.1_1 [protein=VP1] [protein_id=QWL55702.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442605.1_cds_QWL55701.1_1 [protein=VP1] [protein_id=QWL55701.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|MT442141.1_cds_QWL55237.1_1 [protein=VP1] [protein_id=QWL55237.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442140.1_cds_QWL55236.1_1 [protein=VP1] [protein_id=QWL55236.1] [location=<1..>507] [gbkey=CDS]	507	A
lcl|MT442139.1_cds_QWL55235.1_1 [protein=VP1] [protein_id=QWL55235.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442138.1_cds_QWL55234.1_1 [protein=VP1] [protein_id=QWL55234.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442137.1_cds_QWL55233.1_1 [protein=VP1] [protein_id=QWL55233.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442136.1_cds_QWL55232.1_1 [protein=VP1] [protein_id=QWL55232.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442135.1_cds_QWL55231.1_1 [protein=VP1] [protein_id=QWL55231.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442134.1_cds_QWL55230.1_1 [protein=VP1] [protein_id=QWL55230.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442133.1_cds_QWL55229.1_1 [protein=VP1] [protein_id=QWL55229.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442132.1_cds_QWL55228.1_1 [protein=VP1] [protein_id=QWL55228.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442131.1_cds_QWL55227.1_1 [protein=VP1] [protein_id=QWL55227.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442130.1_cds_QWL55226.1_1 [protein=VP1] [protein_id=QWL55226.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442129.1_cds_QWL55225.1_1 [protein=VP1] [protein_id=QWL55225.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442128.1_cds_QWL55224.1_1 [protein=VP1] [protein_id=QWL55224.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442127.1_cds_QWL55223.1_1 [protein=VP1] [protein_id=QWL55223.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442126.1_cds_QWL55222.1_1 [protein=VP1] [protein_id=QWL55222.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442125.1_cds_QWL55221.1_1 [protein=VP1] [protein_id=QWL55221.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442124.1_cds_QWL55220.1_1 [protein=VP1] [protein_id=QWL55220.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442123.1_cds_QWL55219.1_1 [protein=VP1] [protein_id=QWL55219.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442122.1_cds_QWL55218.1_1 [protein=VP1] [protein_id=QWL55218.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442121.1_cds_QWL55217.1_1 [protein=VP1] [protein_id=QWL55217.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442120.1_cds_QWL55216.1_1 [protein=VP1] [protein_id=QWL55216.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442119.1_cds_QWL55215.1_1 [protein=VP1] [protein_id=QWL55215.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442118.1_cds_QWL55214.1_1 [protein=VP1] [protein_id=QWL55214.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442117.1_cds_QWL55213.1_1 [protein=VP1] [protein_id=QWL55213.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442116.1_cds_QWL55212.1_1 [protein=VP1] [protein_id=QWL55212.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442115.1_cds_QWL55211.1_1 [protein=VP1] [protein_id=QWL55211.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442114.1_cds_QWL55210.1_1 [protein=VP1] [protein_id=QWL55210.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442113.1_cds_QWL55209.1_1 [protein=VP1] [protein_id=QWL55209.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442112.1_cds_QWL55208.1_1 [protein=VP1] [protein_id=QWL55208.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442111.1_cds_QWL55207.1_1 [protein=VP1] [protein_id=QWL55207.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442110.1_cds_QWL55206.1_1 [protein=VP1] [protein_id=QWL55206.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442109.1_cds_QWL55205.1_1 [protein=VP1] [protein_id=QWL55205.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442106.1_cds_QWL55202.1_1 [protein=VP1] [protein_id=QWL55202.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442105.1_cds_QWL55201.1_1 [protein=VP1] [protein_id=QWL55201.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442104.1_cds_QWL55200.1_1 [protein=VP1] [protein_id=QWL55200.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442103.1_cds_QWL55199.1_1 [protein=VP1] [protein_id=QWL55199.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442102.1_cds_QWL55198.1_1 [protein=VP1] [protein_id=QWL55198.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442101.1_cds_QWL55197.1_1 [protein=VP1] [protein_id=QWL55197.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442100.1_cds_QWL55196.1_1 [protein=VP1] [protein_id=QWL55196.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442099.1_cds_QWL55195.1_1 [protein=VP1] [protein_id=QWL55195.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442098.1_cds_QWL55194.1_1 [protein=VP1] [protein_id=QWL55194.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442097.1_cds_QWL55193.1_1 [protein=VP1] [protein_id=QWL55193.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442096.1_cds_QWL55192.1_1 [protein=VP1] [protein_id=QWL55192.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442095.1_cds_QWL55191.1_1 [protein=VP1] [protein_id=QWL55191.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442094.1_cds_QWL55190.1_1 [protein=VP1] [protein_id=QWL55190.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442093.1_cds_QWL55189.1_1 [protein=VP1] [protein_id=QWL55189.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442092.1_cds_QWL55188.1_1 [protein=VP1] [protein_id=QWL55188.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442091.1_cds_QWL55187.1_1 [protein=VP1] [protein_id=QWL55187.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442090.1_cds_QWL55186.1_1 [protein=VP1] [protein_id=QWL55186.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442089.1_cds_QWL55185.1_1 [protein=VP1] [protein_id=QWL55185.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442088.1_cds_QWL55184.1_1 [protein=VP1] [protein_id=QWL55184.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442087.1_cds_QWL55183.1_1 [protein=VP1] [protein_id=QWL55183.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442086.1_cds_QWL55182.1_1 [protein=VP1] [protein_id=QWL55182.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442085.1_cds_QWL55181.1_1 [protein=VP1] [protein_id=QWL55181.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442084.1_cds_QWL55180.1_1 [protein=VP1] [protein_id=QWL55180.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442083.1_cds_QWL55179.1_1 [protein=VP1] [protein_id=QWL55179.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442082.1_cds_QWL55178.1_1 [protein=VP1] [protein_id=QWL55178.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442081.1_cds_QWL55177.1_1 [protein=VP1] [protein_id=QWL55177.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442080.1_cds_QWL55176.1_1 [protein=VP1] [protein_id=QWL55176.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442079.1_cds_QWL55175.1_1 [protein=VP1] [protein_id=QWL55175.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442078.1_cds_QWL55174.1_1 [protein=VP1] [protein_id=QWL55174.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442077.1_cds_QWL55173.1_1 [protein=VP1] [protein_id=QWL55173.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442076.1_cds_QWL55172.1_1 [protein=VP1] [protein_id=QWL55172.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442075.1_cds_QWL55171.1_1 [protein=VP1] [protein_id=QWL55171.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442074.1_cds_QWL55170.1_1 [protein=VP1] [protein_id=QWL55170.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|MT442073.1_cds_QWL55169.1_1 [protein=VP1] [protein_id=QWL55169.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|KY091293.1_cds_APX53718.1_1 [protein=VP1] [protein_id=APX53718.1] [location=<1..>639] [gbkey=CDS]	639	A
lcl|DQ121110.1_cds_AAZ29217.1_1 [gene=1D] [protein=VP1] [protein_id=AAZ29217.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|DQ121109.1_cds_AAZ29216.1_1 [gene=1D] [protein=VP1] [protein_id=AAZ29216.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
lcl|FJ785227.1_cds_ACN81711.1_1 [gene=1D] [protein=VP1] [protein_id=ACN81711.1] [location=<1..>633] [gbkey=CDS]	633	Asia 1
